dataflow_id,dataflow_name,existing_description,suggested_description,source,owner
712,Project Krypton - Transaction Comparison To Retailer Data,,Compares transaction volumes across sources for data quality validation,inferred,Aaron Olson
375,2021 Transactions/Impressions and Revenue,,,,Garrett Kohler
680,[AM Test Copy] RPA Conversion for Vistar,,Converts RPA scheduling data between internal and Vistar formats,inferred,GSTV-Domo-Admin
679,[AM Test Copy] RPA Conversion for Vistar - V2.0 - 4 Slots,,Converts RPA data to Vistar multi-slot scheduling format,inferred,GSTV-Domo-Admin
827,[Casey's Test] - RPA Conversion for Vistar - Load RSM and Enterprise Data from PowerAutomate Email - Ad Ops,,Converts RPA scheduling data between internal and Vistar formats,inferred,GSTV-Domo-Admin
179,[Deactivated] Programmatic Site Performance - 2w,,,,GSTV-Domo-Admin
864,[DELETE] Pluto Diagnostics Comparison,,,,GSTV-Domo-Admin
910,[DEV] - Ad Ops - Programmatic Campaign Tracking,,Tracks campaign delivery progress against contracted commitments,inferred,Antonio Bowens
308,[DEV] Writeback to INVENTORYDATA.INVENTORYDATA_SCHEMA.SITE_HISTORIES,,,,Garrett Kohler
452,[Development] Campaign Validated Impressions - Daily - Recursive - Include Non-CVI for Comparison,,Processes and validates campaign impression data for billing accuracy,inferred,GSTV-Domo-Admin
599,[DNU] Daily Programmatic Exchange Revenue V2,,Aggregates programmatic exchange revenue data,inferred,GSTV-Domo-Admin
497,[DNU] Patch - Vistar SSP Historicals,"Replaced with ""Patch Process - Vistar SSP Revenue"" DataFlow",,existing,GSTV-Domo-Admin
726,[Do Not Use] Vegas - Pre-Process Managed Service Retailer Schedule,,,,GSTV-Domo-Admin
790,"[GK TEST] Programmatic - Vistar - All Revenue and Diagnostics - Live - by Date, Site - Remove Python Tile",,Processes Vistar diagnostic data for programmatic health monitoring,inferred,GSTV-Domo-Admin
691,[Production] California Tribal Council - RPA Conversion,,Converts RPA scheduling data between internal and Vistar formats,inferred,Al Minetola
758,[Production] Vegas - RPA Conversion - Managed Service RPAs,Loads the Managed Service RPA from RPA Management schedule. Converts to format for Vistar scheduling later.,,existing,GSTV-Domo-Admin
604,[Reetu Copy for Test] Sell Through Calculations - V1,"Combines data from Vistar scheduling, Vistar revenue, and site status histories to calculate sell through rates based on pre- and post-programmatic sold times",,existing,Reetu Sood
759,[Temp] RPA - Speedway Managed Service - IO Site Scheduling,,Processes data specific to the Speedway retailer network,inferred,GSTV-Domo-Admin
856,[TEMP] Unvalidated Transactions - Hourly,,,,GSTV-Domo-Admin
852,[Test Casey's] - RPA Managed Services - Determine RPAs to be Unscheduled,"This dataflow creates the output dataset that will be compared to the RPA Conversion - 2 Line Items, which will remove line items that are categorized as ""RPA to Unschedule"" in this dataflow.",,existing,GSTV-Domo-Admin
600,[Test] Fix Vistar Venue Avails for Sell Through V2,,"Calculates sell-through rates combining avails, scheduling, and revenue data",inferred,GSTV-Domo-Admin
610,[Test] RPA Scheduling with Salesforce,,Processes Salesforce CRM data for integration with Domo reporting,inferred,GSTV-Domo-Admin
324,[TEST] SQL ETL - Traffic Instructions,"Calculate from Vistar BI, IOList, Gbase TI",,existing,Garrett Kohler
735,[TEST][VEGAS] Managed Service RPAs - Sample Sites for Test IOs,,,,GSTV-Domo-Admin
728,[Test][VEGAS] RPA Conversion 3.2 - 2 Line Items - Ad Ops,Updated to remove RPAs for managed services,,existing,GSTV-Domo-Admin
112,Accounts - Base Data Set,,,,GSTV-Domo-Admin
438,Active RPA Utilization Prev Month data flow - Filtered with Veronica's details,,Filters or segments data for a specific use case,inferred,GSTV-Domo-Admin
704,Ad Lease Analysis - Hardware and Experience Analysis,,,,GSTV-Domo-Admin
776,Ad Ops - Campaigns - Launch Monitoring,,Ad operations pipeline for scheduling and delivery tracking,inferred,GSTV-Domo-Admin
764,Ad Ops - Category Restriction Check,,Ad operations pipeline for scheduling and delivery tracking,inferred,Antonio Bowens
635,Ad Ops - Lease Rate - Vistar Insights,,Processes Vistar diagnostic data for programmatic health monitoring,inferred,GSTV-Domo-Admin
637,Ad Ops Monitoring - Vistar Diagnostics Insights,,Processes Vistar diagnostic data for programmatic health monitoring,inferred,GSTV-Domo-Admin
68,Adam State Farm Jerky Test,,,,Adam Doughty
87,Adam Test,Denormalized POP past 30 days,,existing,Adam Doughty
65,adam test flow,,,,Adam Doughty
5,AddGTVIDsToPoP,,Processes Proof of Play data for ad delivery verification,inferred,
561,Admin - Datasets Reference - Column Details,,Administrative/governance dataflow for platform management,inferred,GSTV-Domo-Admin
668,Admin - Ontology - Dataflow Inputs and Outs,,Administrative/governance dataflow for platform management,inferred,GSTV-Domo-Admin
669,Admin - Viewflow Inputs and Outputs,,Administrative/governance dataflow for platform management,inferred,GSTV-Domo-Admin
101,Adrenaline - Test,,,,
107,Adrenaline_Gilbarco_All_Test,,,,
103,Adrenaline_Gilbarco_Test,,,,
907,Advertisers No Longer Bidding,,,,Antonio Bowens
603,Alerts - Vistar Stop Spend,,Data quality monitoring and alerting pipeline,inferred,GSTV-Domo-Admin
708,All GSTV - Ad Serving - Flexible - 2022/2023/2024/2025,,Ad operations pipeline for scheduling and delivery tracking,inferred,Aaron Olson
809,All GSTV - Combined SSP and Flex - 2023/2024/2025 - Full Granularity,,Combines multiple data sources through joining or appending,inferred,GSTV-Domo-Admin
706,All GSTV - Diagnostic Insights - 2022/2023/2024/2025,,,,Aaron Olson
812,All GSTV - Flexible and SSP Revenue - Full Granularity - Live,,,,GSTV-Domo-Admin
811,All GSTV - Flexible Revenue - March 2025 to July 15 2025,,,,GSTV-Domo-Admin
710,All GSTV - Programmatic Perfomance - 2022/2023/2024/2025,,,,Aaron Olson
707,All GSTV - SSP - 2022/2023/2024/2025,,,,Aaron Olson
810,All GSTV - SSP Revenue - March 2025 to July 15 2025 - Full Granularity,,,,GSTV-Domo-Admin
817,All GSTV - Vistar - SSP Revenue - Full Granularity,,Processes Vistar venue availability data for sell-through analysis,inferred,GSTV-Domo-Admin
84,All Networks - Transactions - Historic - Hourly,,,,Aaron Olson
135,All Networks - Transactions - Patch - Input,,Patches or backfills historical data for completeness,inferred,GSTV-Domo-Admin
117,"All Networks - Transactions - Weekly - Current, WoW, and YoY",,,,Aaron Olson
119,All Sites with Week Ending Status,,,,Aaron Olson
368,Analysis - Account Ownership Impact on Pipeline,,,,Aaron Olson
527,Analysis - Average Time Offline,,,,Aaron Olson
173,Analysis - Speedway - Current Year - Average Daily Transactions,,Processes data specific to the Speedway retailer network,inferred,Aaron Olson
382,Annual Programmatic Ad Revenue by Network,,Aggregates programmatic exchange revenue data,inferred,GSTV-Domo-Admin
293,Append Dataflow Output to View - Transactions - Writeback to Snowflake,,Combines multiple data sources through joining or appending,inferred,GSTV-Domo-Admin
602,Append to Programmatic List of Advertisers,,Combines multiple data sources through joining or appending,inferred,GSTV-Domo-Admin
533,Apple Audit - CVI and Sell Through Calculations for Audited Sites,,"Calculates sell-through rates combining avails, scheduling, and revenue data",inferred,GSTV-Domo-Admin
537,Apple Audit - Sites With Site Status History And Vistar Pre-Programmatic Sell Through,,"Calculates sell-through rates combining avails, scheduling, and revenue data",inferred,Aaron Olson
539,Apple Audit - Terminal Level Analysis,,,,Aaron Olson
269,Average Revenue Per Location and CPM - TTM - September 2021,,,,Aaron Olson
8,Bad Test Run,,,,GSTV-Domo-Admin
642,Campaign Data - Mongo Writeback Input,,,,GSTV-Domo-Admin
542,"Campaign Delivery Reporting - DMA Averages, NVI, and CVI",,Tracks campaign delivery progress against contracted commitments,inferred,Nick Kaufmann
256,Campaign Delivery Reporting - Salesforce Integration - February 2021,,Tracks campaign delivery progress against contracted commitments,inferred,Aaron Olson
270,Campaign Delivery Reporting - Salesforce Integration - Filterable,,Tracks campaign delivery progress against contracted commitments,inferred,Kayla Cekal
266,Campaign Delivery Reporting - Salesforce Integration - Previous Month,,Tracks campaign delivery progress against contracted commitments,inferred,Kayla Cekal
508,Campaign Impact Analysis,,,,Aaron Olson
509,Campaign Impact Analysis - Impacted DMAs By Day,Create A Row Per Day Per DMA,,existing,Aaron Olson
511,Campaign Impact Analysis - Network View,,,,Aaron Olson
488,Campaign Site Transactions - IO 8199 - June 10,,,,GSTV-Domo-Admin
106,Campaign Transactions - Test,,,,
391,Campaign Validated Data - Base Data Set Creation,,,,GSTV-Domo-Admin
390,Campaign Validated Impressions - Daily - Recursive,,Processes and validates campaign impression data for billing accuracy,inferred,GSTV-Domo-Admin
526,Campaign Validated Impressions - Recursive - Patch,,Processes and validates campaign impression data for billing accuracy,inferred,GSTV-Domo-Admin
86,Campaign_Committed,,,,
883,Casey's Monthly GVR RMM Fee,,Processes data specific to the Casey's retailer network,inferred,Kayla Cekal
616,Cassandra - Future Availability Test,,Calculates ad inventory availability for scheduling and sell-through,inferred,GSTV-Domo-Admin
619,Certification,,,,Garrett Kohler
620,Certification MySQL - Baby Names,,,,Garrett Kohler
444,Check duplicates,,,,Sriram Vepuri
222,Cheddar News Rebrand - Traffic Instruction Overrides,,,,Aaron Olson
181,Chevy Programmatic Sites with Status,,,,
190,Circle K,,Processes data for the Circle K retailer network,inferred,Abigail Kane
524,Circle K Sites w/Holiday in Contract,,Processes data for the Circle K retailer network,inferred,Adam Doughty
95,Circle K Test,,Processes data for the Circle K retailer network,inferred,Adam Doughty
904,Clawback: ICS GVR Daily POP Stats,,Calculates revenue clawback adjustments for billing,inferred,Hailee Mcfarland
702,Combine Gilbarco Health Data With POP,,Processes Proof of Play data for ad delivery verification,inferred,Bill Binkiewicz
746,Combine SSP + Exchange Live and Consolidated,,Combines multiple data sources through joining or appending,inferred,GSTV-Domo-Admin
224,Commission Payout Calculations,,Calculates revenue share or commission allocations,inferred,Aaron Olson
248,Comscore Transaction Report - DF WIP,,,,
284,Comscore Transaction Report - Monthly,,,,Abigail Kane
241,Comscore Transaction Report - WIP,,,,Abigail Kane
392,Configurable-  Revenue Share - Network Partners,,Calculates revenue share or commission allocations,inferred,Abigail Kane
689,Copy of [Production] - RPA Conversion for Vistar - Load RSM and Enterprise Data from PowerAutomate Email - Ad Ops,,Converts RPA scheduling data between internal and Vistar formats,inferred,GSTV-Domo-Admin
214,Copy of All Networks - Transactions - Patch - Hourly,,Patches or backfills historical data for completeness,inferred,Aaron Olson
283,Copy of All Networks - Transactions - Patch - Input,,Patches or backfills historical data for completeness,inferred,Garrett Kohler
813,Copy of Campaign Delivery Reporting - Salesforce Integration - Filterable,,Tracks campaign delivery progress against contracted commitments,inferred,Hailee Mcfarland
814,Copy of Campaign Delivery Reporting - Salesforce Integration - Filterable,,Tracks campaign delivery progress against contracted commitments,inferred,Hailee Mcfarland
108,Copy of Campaign Transactions - Test,,"Copy of the ""Campaign Transactions - Test"" dataflow",inferred,
719,Copy of Campaign Validated Impressions - Daily - Recursive,,Processes and validates campaign impression data for billing accuracy,inferred,GSTV-Domo-Admin
385,Copy of Comscore Transaction Report - Monthly,,"Copy of the ""Comscore Transaction Report - Monthly"" dataflow",inferred,Abigail Kane
394,Copy of Comscore Transaction Report - Monthly,,"Copy of the ""Comscore Transaction Report - Monthly"" dataflow",inferred,Abigail Kane
246,Copy of Comscore Transaction Report - WIP,,"Copy of the ""Comscore Transaction Report - WIP"" dataflow",inferred,
409,Copy of Configurable-  Revenue Share - Network Partners,,Calculates revenue share or commission allocations,inferred,Abigail Kane
247,Copy of Copy of Comscore Transaction Report - WIP,,"Copy of the ""Copy of Comscore Transaction Report - WIP"" dataflow",inferred,
466,Copy of Copy of Impressions By IO By DMA Previous Month,,"Copy of the ""Copy of Impressions By IO By DMA Previous Month"" dataflow",inferred,GSTV-Domo-Admin
396,Copy of Copy of Revenue Share - Network Partners,,Calculates revenue share or commission allocations,inferred,Abigail Kane
432,Copy of Copy of Vistar Programmatic Revenue,,Processes Vistar venue availability data for sell-through analysis,inferred,GSTV-Domo-Admin
340,Copy of Data Quality - Salesforce and TIM IO Reconciliation - Previous Month,,Processes Salesforce CRM data for integration with Domo reporting,inferred,Abigail Kane
332,Copy of Dataflow - Transaction + Plays - Unvalidated Network Impressions,,"Copy of the ""Dataflow - Transaction + Plays - Unvalidated Network Impressions"" dataflow",inferred,Garrett Kohler
146,Copy of DenormalizeProofOfPlay,,Denormalizes Proof of Play records into a flat structure for reporting,inferred,
199,Copy of DenormalizeProofOfPlay,,Denormalizes Proof of Play records into a flat structure for reporting,inferred,
325,Copy of Development - ETL - Traffic Instructions - Data Engineering,Development ETL for processing Vistar BI files,,existing,Garrett Kohler
695,Copy of Dover - Transactions - Live - Hourly,Transaction pipeline from Snowflake,,existing,GSTV-Domo-Admin
40,Copy of DP Flatten TI 202004,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
162,Copy of DP Flatten TI 202011,Adam's Copy for testing,,existing,Adam Doughty
370,Copy of ETL - IO List v3,,"Copy of the ""ETL - IO List v3"" dataflow",inferred,Kayla Cekal
52,Copy of FlattenTI,,Flattens traffic instruction data from nested format into a denormalized table,inferred,
225,Copy of Gilbarco April Outage Impact,,"Copy of the ""Gilbarco April Outage Impact"" dataflow",inferred,Abigail Kane
249,Copy of Historical Comscore Transaction Report - WIP,,Patches or backfills historical data for completeness,inferred,Kayla Cekal
232,Copy of Impressions by IO by DMA,,"Copy of the ""Impressions by IO by DMA"" dataflow",inferred,Abigail Kane
239,Copy of Impressions By IO By DMA Previous Month,,"Copy of the ""Impressions By IO By DMA Previous Month"" dataflow",inferred,Abigail Kane
671,Copy of Landmark Industries Rent Payment,,"Copy of the ""Landmark Industries Rent Payment"" dataflow",inferred,Kayla Cekal
498,Copy of Network Dashboard - Join NVIs to Site Data,For NVI 3.0,,existing,GSTV-Domo-Admin
192,Copy of OPP/IO Rev - Base Data Set,,"Copy of the ""OPP/IO Rev - Base Data Set"" dataflow",inferred,Aaron Olson
408,Copy of Partner Site List - Place Exchange - Clean Up,,"Copy of the ""Partner Site List - Place Exchange - Clean Up"" dataflow",inferred,Abigail Kane
189,Copy of Programmatic Ad Leases with Revenue,,Aggregates programmatic exchange revenue data,inferred,
639,Copy of Revenue Share - Network Partners - Live,,Calculates revenue share or commission allocations,inferred,Aaron Olson
419,Copy of Revenue Share - Retailer Campaigns,,Calculates revenue share or commission allocations,inferred,Abigail Kane
195,Copy of Revenue Share - Site/State,,Calculates revenue share or commission allocations,inferred,Abigail Kane
237,Copy of Revenue Share - Site/State,,Calculates revenue share or commission allocations,inferred,Abigail Kane
442,Copy of Revenue Share - Site/State,,Calculates revenue share or commission allocations,inferred,Abigail Kane
238,Copy of Revenue Share - Site/State - Configurable,,Calculates revenue share or commission allocations,inferred,Abigail Kane
676,Copy of Revenue Share - Unified TO BE DELETED,,Calculates revenue share or commission allocations,inferred,Kayla Cekal
400,Copy of RPA Conversion for Vistar - V2.0 - 4 Slots,,Converts RPA data to Vistar multi-slot scheduling format,inferred,Garrett Kohler
632,Copy of RPA Scheduling - Check for Asset Name in Nuxeo - MH,,Processes creative content scheduling data,inferred,GSTV-Domo-Admin
740,Copy of RPA Utilization - Tagged for migration,,"Copy of the ""RPA Utilization - Tagged for migration"" dataflow",inferred,GSTV-Domo-Admin
205,Copy of Site Status History - Base Data Set,,Processes site operational status data for tracking and reporting,inferred,Abigail Kane
496,Copy of Sites - Days With Proof of Play - Previous Month,,Processes Proof of Play data for ad delivery verification,inferred,Abigail Kane
286,Copy of Sites Reporting Plays - Delete after use,,"Copy of the ""Sites Reporting Plays - Delete after use"" dataflow",inferred,Abigail Kane
252,Copy of Speedway Rent Payment - Configurable,,Processes data specific to the Speedway retailer network,inferred,Kayla Cekal
467,Copy of Speedway Rent Payment - Configurable,,Processes data specific to the Speedway retailer network,inferred,GSTV-Domo-Admin
882,Copy of Speedway Rent Payment - Daily,,Processes data specific to the Speedway retailer network,inferred,Kayla Cekal
791,Copy of TEMP - Analysis - Transactions - YoY By Site By Day,,"Copy of the ""TEMP - Analysis - Transactions - YoY By Site By Day"" dataflow",inferred,Aaron Olson
18,Copy of Transactions and Plays,,"Copy of the ""Transactions and Plays"" dataflow",inferred,
75,Copy of Transactions-Historical,,Patches or backfills historical data for completeness,inferred,
647,Copy of Vistar - Hourly Impressions By Week / Weekly Operating Hours / Spot Rate - Full Network,,"Copy of the ""Vistar - Hourly Impressions By Week / Weekly Operating Hours / Spot Rate - Full Network"" dataflow",inferred,Aaron Olson
265,Copy of Vistar Campaign Migration,,"Copy of the ""Vistar Campaign Migration"" dataflow",inferred,Garrett Kohler
431,Copy of Vistar Programmatic Revenue,,Processes Vistar venue availability data for sell-through analysis,inferred,GSTV-Domo-Admin
132,Copy of Vistar Site List,,"Copy of the ""Vistar Site List"" dataflow",inferred,Aaron Olson
66,Count of Sites By TI,,,,
316,Count Rows of Snowflake Read,,,,Garrett Kohler
19,Covid Dataflow,,,,
20,Covid Ending April 1st Dataflow,,,,
4,Create Advertiser List,,,,Aaron Olson
857,Create IO Site List with Asset Spot Length,,,,GSTV-Domo-Admin
862,Creative_Plays_11072025,,Processes creative content scheduling data,inferred,Minu Sara Thomas
194,Current/Future Advertisements - Speedway Only,Weekly report for Speedway use,,existing,Adam Doughty
523,CVI dataset - Sriram - Problematic Campaigns - 10/18/2023 v3,,,,GSTV-Domo-Admin
538,Daily CVI impressions - Previous Month,,,,Kayla Cekal
656,Daily Programmatic Exchange Revenue (States A-I) - Deduplicate,,Aggregates programmatic exchange revenue data,inferred,GSTV-Domo-Admin
291,daily transaction comparison alert flow,,Compares transaction volumes across sources for data quality validation,inferred,
22,DanData,,,,
23,DanData_20200214,,,,
662,Data Quality - Salesforce and CVI  - Previous Month,,Processes Salesforce CRM data for integration with Domo reporting,inferred,Kayla Cekal
153,Data Quality - Salesforce and TIM IO Reconciliation - Previous Month,,Processes Salesforce CRM data for integration with Domo reporting,inferred,Aaron Olson
381,Data Quality - Salesforce and Vistar - Previous Month,,Processes Salesforce CRM data for integration with Domo reporting,inferred,Abigail Kane
188,Data Quality - Sites - Salesforce/Gbase Syncing,,Processes Salesforce CRM data for integration with Domo reporting,inferred,
292,Dataflow - Monitoring - Gilbarco Transactions Writeback to Snowflake,,Monitors data pipeline health from Snowflake transaction feeds,inferred,GSTV-Domo-Admin
331,Dataflow - Transaction + Plays - Unvalidated Network Impressions,,,,Garrett Kohler
327,Dataflow - Transactions - Monitoring - Historic,,,,GSTV-Domo-Admin
326,Dataflow - Transactions - Monitoring - Most Recent Day,,,,GSTV-Domo-Admin
328,Dataflow - Transactions - Monitoring - Most Recent Day - Gilbarco,,Processes transaction data for the specified network,inferred,GSTV-Domo-Admin
329,Dataflow - Transactions - Monitoring - Most Recent Day - Speedway,,Processes transaction data for the specified network,inferred,GSTV-Domo-Admin
516,Demo - Transaction Monitoring - Segment Networks,"Input is Snowflake Transaction Monitoring Connector. This creates three output datasets, one for each network.",,existing,GSTV-Domo-Admin
6,DenormalizeProofOfPlay,,Denormalizes Proof of Play records into a flat structure for reporting,inferred,GSTV-Domo-Admin
200,DenormalizeProofOfPlay Dec 2020,,Denormalizes Proof of Play records into a flat structure for reporting,inferred,
844,DEV Parse Gilbarco ICS Notifications,,,,Michael Girard
878,DEV_AssembleTransactions_Gilbarco,,Processes transaction data for the specified network,inferred,GSTV-Domo-Admin
877,DEV_AssembleTransactions_Speedway,,Processes transaction data for the specified network,inferred,GSTV-Domo-Admin
320,Development - ETL - Traffic Instructions - Data Engineering,Development ETL for processing Vistar BI files,,existing,Garrett Kohler
330,DF330 - Transactions - Monitoring - All Networks,Appends All Networks Most Recent Day to All Network Historical,,existing,Garrett Kohler
334,DF334 - DOMO_GOV_PDP - REC,,Domo governance dataflow for instance monitoring and credit tracking,inferred,
339,DF339 - Monitoring - Traffic Instructions - Daily Unique Site and Assets,,Monitoring pipeline tracking site/network operational health,inferred,Garrett Kohler
343,DF343 - VIEW - Sum_Plays_Monitoring_Play_Metrics |Date-Asset-Network | STG,,Monitoring pipeline tracking site/network operational health,inferred,
345,DF345 - View - Monitoring - Sites - Active Sites | INT - DF345,,Monitoring pipeline tracking site/network operational health,inferred,
346,DF346 - View - Monitoring Sites - Temp Deactivated Sites | INT,,Monitoring pipeline tracking site/network operational health,inferred,
347,DF347 - Monitoring - Salesforce Sites & Site Status History - Row Counts,,Monitoring pipeline tracking site/network operational health,inferred,
348,DF348 - Snowflake Writebacks - Daily & Prior Rows,,,,
